Artists;presence_in_top_per_month;followers;posts
saraevans;10;;
youngmoney;10;;
gratefuldead;10;;
dnce;10;;
riseagainst;10;;
tank;10;;
thompsonsquare;10;;
gunna;10;;
torylanez;10;;
lupefiasco;10;;
lildicky;10;;
mannheimsteamrollerwithmembersoftheczechphilharmonicorchestra;10;;
badmeetsevil;10;;
50cent;10;;
jeremycamp;10;;
barrywhite;10;;
davidcrowderband;10;;
inthismoment;10;;
aaronlewis;10;;
zedd;10;;
madonna;10;;
defleppard;10;;
dustinlynch;10;;
wakaflockaflame;10;;
n.w.a;10;;
laurastory;9;;
maxwell;9;;
johnnymathis;9;;
theheadandtheheart;9;;
flume;9;;
omarion;9;;
k.michelle;9;;
anthonyhamilton;9;;
marshaambrosius;9;;
edwardsharpe&themagneticzeros;9;;
beck;9;;
jaheim;9;;
6ix9ine;9;;
melaniefiona;9;;
tyga;9;;
celticthunder;9;;
evanescence;9;;
seether;9;;
chrisettemichele;9;;
thekillers;9;;
slipknot;9;;
janellemonae;9;;
georgeezra;9;;
skrillex&diplo;9;;
d.r.a.m.;9;;
youngthegiant;9;;
juangabriel;9;;
abba;9;;
korn;9;;
yfnlucci;9;;
djsnake;9;;
kaleo;9;;
u2;9;;
youngjeezy;9;;
philcollins;9;;
bonnieraitt;9;;
tamarbraxton;9;;
emelisande;9;;
earth,wind&fire;9;;
beegees;9;;
milkychance;9;;
frenchmontana;9;;
avrillavigne;9;;
brothersosborne;9;;
torikelly;9;;
kennyrogers&dollyparton;9;;
kidschoir;9;;
charliewilson;9;;
sarahmclachlan;9;;
flyleaf;8;;
theprettyreckless;8;;
haim;8;;
radiohead;8;;
ildivo;8;;
cam;8;;
keyshiacole;8;;
adaytoremember;8;;
ajr;8;;
leonbridges;8;;
blackveilbrides;8;;
monica;8;;
gnash;8;;
sting;8;;
andywilliams;8;;
jeezy;8;;
she&him;8;;
laurenalaina;8;;
passionpit;8;;
ludacris;8;;
rodneyatkins;8;;
kesha;8;;
stonesour;8;;
sturgillsimpson;8;;
cardib;8;;
thefray;8;;
deftones;8;;
ledisi;8;;
kiiara;8;;
bazzi;8;;
mattredman;8;;
leonardcohen;8;;
darylhalljohnoates;8;;
macklemore;8;;
beachhouse;8;;
moneybaggyo;8;;
tedeschitrucksband;8;;
caroleking&jamestaylor;8;;
aliceinchains;8;;
echosmith;8;;
snoopdogg;8;;
switchfoot;8;;
jenniferlopez;7;;
dwightyoakam;7;;
juicewrld;7;;
mindlessbehavior;7;;
kongos;7;;
steviewonder;7;;
ronniedunn;7;;
partynextdoor;7;;
alexclare;7;;
bulletformyvalentine;7;;
lilpump;7;;
jillscott;7;;
randyhouser;7;;
raylamontagne;7;;
jamesfortune&fiya;7;;
robertplant;7;;
thewho;7;;
marcanthony;7;;
carlyraejepsen;7;;
natkingcole;7;;
barrymanilow;7;;
gavindegraw;7;;
machinegunkelly;7;;
le'andriajohnson;7;;
rodriguez;7;;
richthekid;7;;
weezer;7;;
ellamai;7;;
carpenters;7;;
hellyeah;7;;
lilpeep;7;;
esperanzaspalding;7;;
travistritt;7;;
taiocruz;7;;
jennifernettles;7;;
donnasummer;7;;
piercetheveil;6;;
navandmetroboomin;6;;
jenniferhudson;6;;
badcompany;6;;
bridgitmendler;6;;
zayn;6;;
marymary;6;;
ingridmichaelson;6;;
youngdolph;6;;
littlemix;6;;
jamiegrace;6;;
blacksabbath;6;;
garyclarkjr.;6;;
aventura;6;;
atribecalledquest;6;;
coheedandcambria;6;;
cassadeepope;6;;
soundgarden;6;;
mirandacosgrove;6;;
dianakrall;6;;
sleepingwithsirens;6;;
kutless;6;;
theroots;6;;
tameimpala;6;;
incubus;6;;
raylamontagneandthepariahdogs;6;;
fredhammond;6;;
amoslee;6;;
burlives;6;;
thejimihendrixexperience;6;;
sickpuppies;6;;
enya;6;;
bandofhorses;6;;
lifehouse;6;92189.0;963.0
tylerfarr;6;568318.0;1495.0
alltimelow;6;1305962.0;1066.0
anne-marie;6;;
cherlloyd;6;2165114.0;342.0
thelonelyisland;6;1083444.0;379.0
tgt;6;185.0;0.0
r.e.m.;6;;
raesremmurd,swaelee&slimjxmmi;6;;
ofmice&men;6;;
queensofthestoneage;6;525685.0;566.0
timbaland;6;1636025.0;4760.0
juicyj;6;3018441.0;65.0
lordhuron;6;78692.0;196.0
blacklabelsociety;6;;
chvrches;6;256340.0;224.0
dollyparton;6;1333931.0;337.0
amine;6;889938.0;213.0
ryanadams;6;0.0;0.0
nelly;6;2225760.0;2021.0
fallinginreverse;6;717482.0;833.0
boston;6;277426.0;2329.0
dropkickmurphys;6;183270.0;1159.0
joe;6;14007.0;130.0
jazminesullivan;6;799.0;1.0
matchboxtwenty;6;125587.0;1396.0
nas;6;4635767.0;2471.0
gracepotter&thenocturnals;6;;
mydarkestdays;6;11349.0;70.0
kellyrowland;6;8224143.0;686.0
anuelaa;5;85.0;1.0
eltonjohn/leonrussell;5;;
janakramer;5;78.0;1.0
niallhoran;5;21659308.0;1190.0
aloeblacc;5;97228.0;757.0
melissaetheridge;5;186.0;73.0
jamiefoxx;5;;
ozzyosbourne;5;2504186.0;1947.0
sanctusreal;5;47591.0;888.0
kehlani;5;6838476.0;486.0
jordansmith;5;491.0;66.0
red;5;226202.0;2897.0
codysimpson;5;3188609.0;815.0
shaniatwain;5;929291.0;789.0
joeybada$$;5;;
sleighbells;5;15154.0;250.0
theshins;5;69286.0;693.0
therobertsons;5;43.0;18.0
a$apmob;5;;
ciara;5;20468260.0;3618.0
karijobe;5;1200015.0;2223.0
chiefkeef;5;1201.0;57.0
gwenstefani;5;8208813.0;1053.0
brandicarlile;5;191429.0;972.0
sherylcrow;5;157673.0;755.0
fitzandthetantrums;5;53864.0;908.0
bigsmo;5;183.0;27.0
americanauthors;5;86920.0;1990.0
jeffbeck;5;;
thesmashingpumpkins;5;;
m.i.a.;5;;
swedishhousemafia;5;;
nineinchnails;5;;
tlc;5;;
fleetfoxes;5;;
cristiancastro;5;;
janisjoplin;5;;
rendcollective;5;;
cher;5;;
coltondixon;5;;
spoon;5;;
thecarters;5;;
neilyoungwithcrazyhorse;5;;
teganandsara;5;;
sufjanstevens;5;;
icecube;5;;
disclosure;5;;
pushat;5;;
diddy-dirtymoney;5;;
m83.;5;;
vanhalen;5;;
thegaslightanthem;5;;
common;5;;
leedewyze;5;;
oldcrowmedicineshow;5;;
themcrookedvultures;5;;
3doorsdown;5;;
georgemichael;5;;
vanmorrison;5;;
slashfeaturingmyleskennedyandtheconspirators;5;;
jewel;5;;
wilco;5;;
bigboi;5;;
thestevemillerband;5;;
hunchojack;5;;
alisonkrauss+unionstation;5;;
floggingmolly;5;;
robinschulz;5;;
ruthb;5;;
erykahbadu;5;;
janet;5;;
yelawolf;5;;
r5;5;;
borns;5;;
thecountdownkids;5;;
blocboyjb;5;;
williammcdowell;5;;
thewarondrugs;5;;
passion;5;;
jayrock;5;;
lauv;5;;
creed;5;;
tonybennett&ladygaga;5;;
agreatbigworld;5;;
deathcabforcutie;5;;
bethelmusic;5;;
nickyjam;5;;
georgejones;5;;
sharonjonesandthedap-kings;5;;
solange;5;;
robzombie;5;;
grouplove;5;;
"nas&damian""jr.gong""marley";5;;
stevencurtischapman;5;;
laroux;5;;
zaralarsson;5;;
idinamenzel;4;;
jackson5;4;;
mymorningjacket;4;;
bigk.r.i.t.;4;;
thechipmunkswithdavidseville;4;;
the-dream;4;;
corinnebaileyrae;4;;
asilaydying;4;;
garthbrooks&trishayearwood;4;;
jasonisbell;4;;
st.vincent;4;;
crystalbowersox;4;;
earnestpugh;4;;
bobseger;4;;
matthewwest;4;;
thewanted;4;;
royorbison;4;;
johndenver;4;;
greggallman;4;;
jadensmith;4;;
rosannecash;4;;
gov'tmule;4;;
michaelgrimm;4;;
orianthi;4;;
newkidsontheblock;4;;
deitrickhaddon;4;;
krisallen;4;;
atmosphere;4;;
firstaidkit;4;;
magic!;4;;
courtyardhounds;4;;
'nsync;4;;
chriscornell;4;;
famousdex;4;;
jbalvin;4;;
d'angeloandthevanguard;4;;
fionaapple;4;;
benrector;4;;
megadeth;4;;
marilynmanson;4;;
zztop;4;;
tonibraxton&babyface;4;;
mgk;4;;
annielennox;4;;
goldlink;4;;
acehood;4;;
joebonamassa;4;;
thenewbasementtapes;4;;
bebe&cecewinans;4;;
odesza;4;;
jaysean;4;;
n*e*r*d;4;;
dannygokey;4;;
rosslynch;4;;
3oh!3;4;;
alanismorissette;4;;
stevienicks;4;;
hueylewis&thenews;4;;
homefree;4;;
caroleking;4;;
jamesdurbin;4;394.0;45.0
pinkmartini;4;26742.0;1054.0
future&youngthug;4;;
thelacs;4;;
birdman;4;;
mana;4;;
capitalcities;4;;
harryconnick,jr.;4;;
"""weirdal""yankovic";4;;
anthrax;4;;
camila;4;;
countdownsingers&orchestra;4;;
tiesto;4;;
lucindawilliams;4;;
banks;4;;
arethafranklin;4;;
wisin&yandel;4;;
chrisbrown&tyga;4;;
savingabel;4;;
kennyrogers;4;;
mastodon;4;;
raheemdevaughn;4;;
kygo;4;;
askingalexandria;4;;
desiigner;4;;
marianhill;4;;
themonkees;4;;
glencampbell;4;;
gerardoortiz;4;;
davidgarrett;3;;
snooplion;3;;
brucespringsteen&theestreetband;3;;
hinder;3;;
o.a.r.;3;;
marinaandthediamonds;3;;
jesusculture;3;;
punchbrothers;3;;
slash;3;;
phish;3;;
countingcrows;3;;
pattygriffin;3;;
blackberrysmoke;3;;
snoopdogg&wizkhalifa;3;;
tonibraxton;3;;
deerhunter;3;;
sawyerfredericks;3;;
passionworshipband;3;;
raycharles;3;;
fabolous;3;;
leonalewis;3;;
googoodolls;3;;
kerihilson;3;;
thenakedandfamous;3;;
theband;3;;
dancegavindance;3;;
rebamcentire;3;;
michaelkiwanuka;3;;
ybnnahmir,ybnalmightyjay&ybncordae;3;;
tomwaits;3;;
localnatives;3;;
daniellebradbery;3;;
laurynhill;3;;
dylanscott;3;;
electriclightorchestra;3;;
dmx;3;;
nataliemerchant;3;;
thedevilwearsprada;3;;
kimbra;3;;
paulmccartneyandwings;3;;
bun-b;3;;
jamesblunt;3;;
pantera;3;;
chrisisaak;3;;
boosiebadazz;3;;
commodores;3;;
prince/briavalente;3;;
musiqsoulchild;3;;
snowpatrol;3;;
randyrogersband;3;;
teyanataylor;3;;
elvispresleywiththeroyalphilharmonicorchestra;3;;
bassnectar;3;;
andrewmcmahoninthewilderness;3;;
tenaciousd;3;;
judaspriest;3;;
runthejewels;3;;
davidnail;3;;
thousandfootkrutch;3;;
johnnygill;3;;
smokeyrobinson;3;;
audreyassad;3;;
ericclapton&friends;3;;
alabama;3;;
thepostalservice;3;;
thestorysofar;3;;
hoodieallen;3;;
kevindevine;3;;
queennaija;3;5324630.0;232.0
metric;3;;
lcdsoundsystem;3;;
kyle;3;;
thestrokes;3;;
hankwilliamsiii;3;;
kidsseeghosts;3;;
big&rich;3;;
steelmagnolia;3;;
rittz;3;;
keithsweat;3;;
johnmellencamp;3;;
drive-bytruckers;3;;
attackattack!;3;;
donniemcclurkin;3;;
newhopeoahu;3;;
matkearney;3;;
kylieminogue;3;;
marychapincarpenter;3;15013.0;1098.0
hughlaurie;3;567.0;0.0
thedoors;3;1088556.0;1070.0
theymightbegiants;3;711.0;3.0
ericbenet;3;149166.0;3248.0
sheppard;3;;
malimusic;3;234766.0;769.0
stryper;3;17928.0;74.0
donomar;3;5016179.0;3235.0
allthatremains;3;93097.0;31.0
alterbridge;3;21.0;0.0
earlsweatshirt;3;342.0;0.0
superchunk;3;509.0;114.0
anderson.paak;3;660.0;0.0
nipseyhussle;3;2390414.0;2101.0
grace;3;145433.0;1518.0
marce.bassy;3;;
eldebarge;3;436.0;0.0
brandonflowers;3;151734.0;32.0
killswitchengage;3;236069.0;896.0
r.city;3;;
washedout;3;21.0;12.0
silversunpickups;3;1999.0;1.0
bleachers;3;83.0;2.0
alvinandthechipmunks;3;2.0;38.0
mattmaher;3;494.0;135.0
theplotinyou;3;33.0;21.0
jessiejamesdecker;3;3032696.0;3332.0
thesecretsisters;3;21600.0;660.0
sevendust;3;152.0;1.0
franksinatra,deanmartin&sammydavisjr;3;;
davidarchuleta;3;;
anberlin;3;42891.0;1308.0
bettemidler;3;927722.0;613.0
frankievalli&the4seasons;3;;
yo-yoma/stuartduncan/edgarmeyer/christhile;3;;
ellahenderson;3;1450.0;52.0
lildurk;3;1659.0;0.0
lincolnbrewster;3;235.0;0.0
acefrehley;3;23.0;1.0
thecontortionist;3;45968.0;112.0
phantogram;3;127733.0;1482.0
crowder;3;381517.0;2231.0
donhenley;3;;
garbage;3;179188.0;3753.0
augustburnsred;3;197968.0;1972.0
ziggymarley;3;870202.0;1971.0
morganwallen;3;91534.0;395.0
cake;3;1001677.0;1383.0
christinagrimmie;3;2608.0;0.0
joansebastian;3;248093.0;23.0
jessglynne;3;665335.0;284.0
311;3;137214.0;2562.0
kiss;3;;
bigsean&metroboomin;3;;
chelseagrin;3;459.0;177.0
johnlegend&theroots;3;;
laurabellbundy;3;53200.0;1405.0
far*eastmovement;3;;
clutch;3;57602.0;489.0
blueoctober;3;93.0;7.0
eddievedder;3;;
rickymartin;3;1894.0;8.0
faithhill;3;1202148.0;446.0
unclekracker;3;22448.0;494.0
chickenfoot;3;4559.0;10.0
thecars;3;;
tyetribbett;3;;
jimcroce;3;;
jonasbrothers;3;;
techn9necollabos;3;;
nightwish;3;;
parachute;3;;
sigurros;3;;
stevierayvaughan;3;;
ellevarner;3;;
crosby,stills,nash&young;3;;
ironmaiden;3;;
gracevanderwaal;3;;
demonhunter;3;;
charlixcx;3;;
thewonderyears;3;;
years&years;2;;
wilsonphillips;2;;
lilmosey;2;;
thecountdownsingers;2;;
aperfectcircle;2;;
nkotbsb;2;;
kristinchenoweth;2;;
tompetty;2;;
blackstonecherry;2;;
emblem3;2;;
haleyreinhart;2;;
bozscaggs;2;;
belleandsebastian;2;;
hotchip;2;;
thedillingerescapeplan;2;;
charlesjenkins&fellowshipchicago;2;;
wyntonmarsalis&ericclapton;2;;
2cellos;2;;
themavericks;2;;
somo;2;;
lyfejennings;2;;
beirut;2;;
anthonygreen;2;;
k.d.lang;2;;
austinmahone;2;;
stevemartin&ediebrickell;2;;
buckcherry;2;;
jimmycliff;2;;
mikedoughty;2;;
modernbaseball;2;;
merlehaggard;2;;
inflames;2;;
theacaciastrain;2;;
styx;2;;
bilal;2;;
marccohn;2;;
hotchellerae;2;;
ollymurs;2;;
nataliegrant;2;;
tay-k;2;;
accept;2;;
macdemarco;2;;
nekocase;2;;
badwolves;2;;
st.paul&thebrokenbones;2;;
hardwell;2;;
petergabriel;2;;
thestatlerbrothers;2;;
missmayi;2;;
maydayparade;2;;
cityandcolour;2;;
thelonebellow;2;;
interpol;2;;
rickydillard&newg;2;;
sarahjarosz;2;;
eltronodemexico;2;;
fatherjohnmisty;2;;
normajean;2;;
theantlers;2;;
jakebugg;2;;
killermike;2;;
hatebreed;2;;
feist;2;;
wham!;2;;
royalblood;2;;
neonindian;2;;
bjork;2;;
chuckberry;2;;
juanes;2;;
israelhoughton;2;;
realestate;2;;
richhomiequan;2;;
gillianwelch;2;;
sleater-kinney;2;;
brighteyes;2;;
mikewillmade-it;2;;
joewalsh;2;;
thedeadweather;2;;
breathecarolina;2;;
codyjohnson;2;;
vincegill;2;;
athousandhorses;2;;
maluma;2;;
walkofftheearth;2;;
alejandrofernandez;2;;
pennywise;2;;
nodoubt;2;;
swv;2;;
maddie&tae;2;;
scorpions;2;;
bush;2;;
thesummerset;2;;
saragroves;2;;
kcamp;2;;
tvontheradio;2;;
dawes;2;;
davidgray;2;;
trina;2;;
dangermouse&danieleluppistarringjackwhite&norahjones;2;;
fkatwigs;2;;
ilovemakonnen;2;;
ryanbingham;2;;
you+me;2;;
raphaelsaadiq;2;;
brittnicole;2;;
blessthefall;2;;
disciple;2;;
audioadrenaline;2;;
kelliepickler;2;;
theghostinside;2;;
silverstein;2;;
robthomas;2;;
dr.john;2;;
popevil;2;;
lilbaby&gunna;2;;
scarface;2;;
randytravis;2;;
jerrygarciaband;2;;
andrerieu;2;;
future&juicewrld;2;;
socialdistortion;2;;
petshopboys;2;;
brandyclark;2;;
edensedge;2;;
device;2;;
jamesblake;2;;
briancourtneywilson;2;;
billiejoe+norah;2;;
ladygaga&bradleycooper;2;;
courtneybarnett;2;;
empireofthesun;2;;
theoffspring;2;;
modestmouse;2;;
boyslikegirls;2;;
jakobdylan;2;;
tracylawrence;2;;
newsong;2;;
andraday;2;;
fozzy;2;;
thetallestmanonearth;2;;
tennis;2;;
thetenors;2;;
lanco;2;;
markknopfler;2;;
omi;2;;
thedrifters;2;;
mattnathanson;2;;
thedoobiebrothers;2;;
johnfogerty;2;;
thejayhawks;2;;
rag'n'boneman;2;;
calexico;2;;
lostucanesdetijuana;2;;
conoroberst;2;;
brockhampton;2;;
dejloaf;2;;
arielpink;2;;
kandi;2;;
levonhelm;2;;
joshritter;2;;
johnlennon;2;;
thestarlightorchestraandsingers;2;;
trivium;2;;
rubenstuddard;2;;
isaaccarree;2;;
frankfoster;2;;
oasis;2;;
sabrinacarpenter;2;;
greysonchance;2;;
starbomb;2;;
lindaronstadt;2;;
10years;2;;
parmalee;2;;
israel&newbreed;2;;
sheckwes;2;;
beamiller;2;;
aaronwatson;2;;
leslieodom,jr.;2;;
thehitcrew;2;;
lambofgod;2;;
andrewbird;2;;
destiny'schild;2;;
jasonisbellandthe400unit;2;;
nickelcreek;2;;
pandabear;2;;
laarrolladorabandaellimonderenecamacho;2;;
allstarweekend;2;;
