,artiste,has_tweet,followers,fav,retweet,nbre tweet,tweet_freq
897,Chinx,True,87078,3312,3033,19314,0.9467213114754098
898,HAIM,True,1222790,559207,67963,3377,4.2
899,Michael Kiwanuka,True,46576,10639,1400,1968,2.1104868913857677
900,Audioslave,True,6973,36847,7684,86,1.4
901,FKA twigs,True,337660,128139,32256,636,1.8265027322404372
902,Cyndi Lauper,True,361932,46589,8137,4330,9.927272727272728
903,The Devin Townsend Project,False,0,0,0,0,0.0
904,United Pursuit,True,30139,5368,952,2339,2.673511293634497
905,Dawes,True,51545,9550,902,4467,11.591397849462366
906,Giorgio Moroder,True,37642,21223,6454,2591,0.8764415156507414
907,Barry Manilow,True,66404,51184,7270,2651,3.5644171779141103
908,Bonobo,True,123521,20801,2498,3387,2.7066666666666666
909,Christon Gray,True,36043,1770,350,12796,44.03225806451613
910,Polyphia,True,31093,26276,5309,1653,5.306451612903226
911,Miles Davis & John Coltrane,False,0,0,0,0,0.0
912,William Patrick Corgan,True,279410,12840,3194,124,1.3225806451612903
913,Veruca Salt,True,9870,3863,477,2587,2.044392523364486
914,Switchfoot,True,384236,74342,10198,6214,7.930635838150289
915,Neil Young + Promise Of The Real,False,0,0,0,0,0.0
916,Wynonna & The Big Noise,False,0,0,0,0,0.0
917,William Control,True,47766,2478,373,45,0.7894736842105263
918,Deitrick Haddon,True,317587,4379,533,36609,20.56923076923077
919,Hollywood Vampires,True,40244,105209,23283,398,1.1679909194097617
920,Pop Evil,True,63608,4089,339,7840,6.891191709844559
921,Bruce Springsteen,True,1168085,279196,60596,3765,2.18974358974359
922,Jeffery Austin,True,27134,1962,227,7746,8.178947368421053
923,Edward Sharpe & The Magnetic Zeros,True,117067,17119,6406,3495,1.185792349726776
924,Chris Lane,True,111542,39872,4976,15452,6.95
925,Joshua Davis,True,28420,1962,168,10057,5.855769230769231
926,Emery,True,339412,673773,197552,1155,1.3435700575815739
927,TakeOff,True,1179896,356982,98342,15896,1.7729257641921397
928,Knuckle Puck,True,82472,58652,7882,982,7.098591549295775
929,J Dilla,True,20884,444,109,3557,1.6352459016393444
930,The Brooklyn Tabernacle Choir,True,16801,1888,560,2022,3.1549295774647885
931,The Secret Sisters,True,11191,3691,378,2412,3.881188118811881
932,Steven Tyler,True,1732202,545084,93259,2271,2.197674418604651
933,Hard Working Americans,False,0,0,0,0,0.0
934,Trouble & Mike WiLL Made-It,False,0,0,0,0,0.0
935,M.I.A.,True,664051,117471,30402,246,2.1462264150943398
936,Gregory Alan Isakov With The Colorado Symphony,False,0,0,0,0,0.0
937,The Jimi Hendrix Experience,True,474440,88188,34194,1157,1.372829417773238
938,Lissie,True,42399,2644,323,11003,2.457777777777778
939,Jidenna,True,132261,36926,11270,2721,33.18518518518518
940,M83.,True,108218,33248,15129,570,0.6867785939139559
941,Graham Nash,True,28563,1216,1099,305,1.27331486611265
942,Ryn Weaver,True,46645,17820,2063,12811,4.194331983805668
943,Birdman & Jacquees,False,0,0,0,0,0.0
944,Wilco,True,209046,12680,1984,4410,1.7966666666666666
945,Hardwell,True,7848909,298578,61191,11601,8.686131386861314
946,High On Fire,True,29244,1076,295,30,1.7093023255813953
947,blessthefall,True,348394,23349,3302,8420,8.19620253164557
948,Gavin DeGraw,True,410422,45550,4022,9015,3.111111111111111
949,Corinne Bailey Rae,True,84319,15445,3410,2595,1.9968304278922346
950,Tamar Braxton,True,1637894,68887,11363,23452,5.661764705882353
951,Rise Against,True,349169,47928,7362,2937,8.776119402985074
952,Usher x Zaytoven,False,0,0,0,0,0.0
953,Scorpions,True,346129,45661,8498,3702,9.692307692307692
954,Queens Of The Stone Age,True,266916,92014,14985,2600,3.905263157894737
955,Avriel & The Sequoias,True,351961,167719,22923,12127,7.909604519774011
956,Charles Kelley,True,137504,47446,5021,1062,2.423076923076923
957,Metric,True,227255,21092,3222,2472,6.397849462365591
958,Ronnie Dunn,True,281176,21557,3496,6641,1.9506531204644413
959,Hoodie Allen,True,1245031,39842,6021,207979,126.0
960,LAY,True,1023804,6497019,3348769,99,3.781609195402299
961,Twin Shadow,True,32032,3292,435,3437,5.541666666666667
962,Diplo,True,2616018,178023,30821,70458,16.0
963,Jess And Gabriel,False,0,0,0,0,0.0
964,Rob Zombie,True,470550,45350,6862,5423,13.08411214953271
