Artistes;followers;posts
leonalewis&avicii;;
rihannaftjay-z;;
jonasblueftraye;;
saknoel;98024.0;534.0
travisscott;13526226.0;2748.0
coldplay&rihanna;;
nerd&rihanna;;
gabrielleaplin;152993.0;1324.0
nero;37061.0;210.0
mcflyfttaiocruz;;
shontelle;125.0;0.0
markronsonftbrunomars;;
alexgaudino;5241.0;479.0
rayeftmreazi;;
girlsaloud;362.0;0.0
aliciakeys;14208057.0;2122.0
robbiewilliams&garybarlow;;
macklemoreftskylargrey;;
floridaftdavidguetta;;
ollymursftflorida;;
daftpunkftpharrellwilliams;;
unionj;116.0;0.0
googoodolls;81.0;854.0
dennislloyd;55710.0;204.0
mishab;64.0;18.0
charice;1302.0;1582.0
jamesnewtonhoward/lawrence;;
martingarrix;16182668.0;2784.0
sigmaftellahenderson;;
iggyazaleaftti;;
william&nickiminaj;;
harris/pharrell/perry/bigsean;;
eminemftjoynerlucas;;
ryx;35224.0;898.0
jayseanftnickiminaj;;
missingandy;1440.0;58.0
leonalewis/childishgambino;;
krishaneftmelissasteel;;
wham;1370.0;8682.0
tomlinson/rexha/digitalfarm;;
seanpaulftalexisjordan;;
kellyrowlandftthewavs;;
byoung;113636.0;50.0
reconnected;275.0;14.0
ritaoraftchrisbrown;;
calvinharris/elliegoulding;;
kylieminogue;1839646.0;2296.0
tygaftoffset;;
tomodell;1660.0;30.0
rixton;579.0;54.0
selenagomez&marshmello;;
wileyftmsd;;
nevada/markmorrison/fettywap;;
rihannaftdrake;;
swedishhousemafia/pharrell;;
wstrn;75.0;27.0
silento;;
nathansykes;482632.0;959.0
jakebugg;332931.0;351.0
envogue;0.0;3141.0
shiftk3y;13911.0;296.0
rak-su;;
jameshypeftkelli-leigh;;
cleanbanditftjuliamichaels;;
nicolescherzinger;3695129.0;2015.0
dukedumont;119773.0;198.0
zayhilfiger&zayionmccall;;
rolldeep;130.0;34.0
bobfthayleywilliams;;
oliverheldens&beckyhill;;
chrisbrown/usher/rickross;;
cherlloydftmikeposner;;
dianavickers;170.0;0.0
iconapop;209609.0;2440.0
charlieputhftselenagomez;;
davidguetta/cruz/ludacris;;
d-blockeurope/adz/lilpino/lb;;
funftjanellemonae;;
naughtyboyftsamsmith;;
aurora;955.0;12.0
lilpump;17109672.0;358.0
rudimentalftemelisande;;
wretch32;153.0;42.0
nicolaroberts;105.0;1.0
ylvis;470.0;976.0
xfactorfinalists2010;;
2chainzftwizkhalifa;;
ironikftjessicalowndes;;
bobmarleyftlvndscape/bolier;;
idinamenzel;910169.0;365.0
bandaid30;235.0;1.0
seankingston;1102223.0;159.0
machinegunkelly;4129556.0;5240.0
philipgeorge&antonpowers;;
muse;1499878.0;421.0
djfresh/diplo/dominiqueyoung;;
enriqueiglesiasftpitbull;;
mo;721524.0;1293.0
saturdaysftflorida;;
jonasblueftjack&jack;;
awolnation;109139.0;1374.0
raesremmurdftguccimane;;
calvinharris/alesso/hurts;;
fuseodgftangel;;
markronson&thebusinessint;;
stooshe;11582.0;1036.0
mcbusted;4907.0;2.0
maroon5ftwizkhalifa;;
kentjones;;
dualipa&blackpink;;
killers;631.0;518.0
alexandraburkeftlazamorgan;;
daveftmostack;;
subfocusftalpines;;
afrojackftspreewilson;;
jlsftdev;;
kygoftconradsewell;;
conormaynard;1914927.0;866.0
davidguettaftemelisande;;
krept&konanftstormzy;;
subfocus/kele;;
jasonderuloftfrenchmontana;;
stromae;488939.0;18.0
bazziftcamilacabello;;
tulisafttyga;;
calling;57.0;146.0
damienrice;115098.0;216.0
yolandabecoolvsdcup;;
craigdavidftbastille;;
cheatcodes&danteklein;;
haim;1905.0;1248.0
xxxtentacion;15175187.0;1.0
jay-zftjustintimberlake;;
wretch32ftjoshkumra;;
stormqueen;93.0;10.0
professorgreen/kusterbeck;;
cobrastarshipftsabi;;
